item_no,source_filename,shot_type,photo_index,notes
004,IMG_0037-Photoroom.JPG,measure,10,
004,IMG_0034.HEIC,card,,number card 4
005,IMG_0044-Photoroom.JPG,front,1,
005,IMG_0045-Photoroom.JPG,front,2,
005,IMG_0038-Photoroom.JPG,detail,3,
005,IMG_0039-Photoroom.JPG,detail,4,
005,IMG_0040-Photoroom.JPG,detail,5,
005,IMG_0041-Photoroom.JPG,detail,6,
005,IMG_0042-Photoroom.JPG,detail,7,
005,IMG_0047-Photoroom.JPG,detail,8,
005,IMG_0046-Photoroom.JPG,measure,9,
005,IMG_0045.HEIC,card,,number card 5
006,IMG_0052-Photoroom.JPG,front,1,
006,IMG_0054-Photoroom.JPG,front,2,
006,IMG_0048-Photoroom.JPG,detail,3,
006,IMG_0049-Photoroom.JPG,detail,4,
006,IMG_0050-Photoroom.JPG,detail,5,
006,IMG_0051-Photoroom.JPG,detail,6,
006,IMG_0053-Photoroom.JPG,detail,7,
006,IMG_0055-Photoroom.JPG,measure,8,
006,IMG_0054.HEIC,card,,number card 6
007,FullSizeRender-Photoroom 20.JPG,front,1,unconfirmed
007,IMG_0056-Photoroom.JPG,front,2,
007,FullSizeRender-Photoroom 15.JPG,back,3,"AMBIGUOUS - plain navy back, could be item 7 or 10"
007,IMG_0059-Photoroom.JPG,detail,4,
007,IMG_0060-Photoroom.JPG,detail,5,
007,IMG_0061-Photoroom.JPG,detail,6,
007,IMG_0062-Photoroom.JPG,detail,7,
007,IMG_0063-Photoroom.JPG,detail,8,
007,IMG_0064-Photoroom.JPG,detail,9,
007,IMG_0057-Photoroom.JPG,measure,10,
007,IMG_0058-Photoroom.JPG,measure,11,
007,IMG_0056.HEIC,card,,number card 7
008,FullSizeRender-Photoroom 2.JPG,front,1,unconfirmed
008,FullSizeRender-Photoroom.JPG,front,2,unconfirmed - green anorak
008,IMG_0066-Photoroom.JPG,front,3,
008,IMG_0065-Photoroom.JPG,detail,4,
008,IMG_0067-Photoroom.JPG,detail,5,
008,IMG_0068-Photoroom.JPG,detail,6,
008,IMG_0069-Photoroom.JPG,detail,7,
008,IMG_0070-Photoroom.JPG,detail,8,
008,IMG_0071-Photoroom.JPG,detail,9,
008,IMG_0072-Photoroom.JPG,detail,10,
008,IMG_0073-Photoroom.JPG,detail,11,
008,IMG_0074-Photoroom.JPG,detail,12,
008,IMG_0075-Photoroom.JPG,measure,13,
008,IMG_0076-Photoroom.JPG,measure,14,
008,IMG_0066.HEIC,card,,number card 8
009,FullSizeRender-Photoroom 17.JPG,front,1,unconfirmed
009,IMG_0077-Photoroom.JPG,front,2,
009,FullSizeRender-Photoroom 18.JPG,back,3,unconfirmed
009,IMG_0078-Photoroom.JPG,detail,4,
009,IMG_0079-Photoroom.JPG,detail,5,
009,IMG_0082-Photoroom.JPG,detail,6,
009,IMG_0083-Photoroom.JPG,detail,7,
009,IMG_0084-Photoroom.JPG,detail,8,
009,IMG_0085-Photoroom.JPG,detail,9,
009,IMG_0086-Photoroom.JPG,detail,10,
009,IMG_0089-Photoroom.JPG,detail,11,
009,IMG_0087-Photoroom.JPG,measure,12,
009,IMG_0088-Photoroom.JPG,measure,13,
009,IMG_0077.HEIC,card,,number card 9
010,FullSizeRender-Photoroom 16.JPG,front,1,unconfirmed
010,IMG_0090-Photoroom.JPG,front,2,
010,FullSizeRender-Photoroom 19.JPG,back,3,"AMBIGUOUS - plain navy back, could be item 7 or 10"
010,IMG_0091-Photoroom.JPG,detail,4,
010,IMG_0092-Photoroom.JPG,detail,5,
010,IMG_0093-Photoroom.JPG,detail,6,
010,IMG_0094-Photoroom.JPG,detail,7,
010,IMG_0095-Photoroom.JPG,detail,8,
010,IMG_0098-Photoroom.JPG,detail,9,
010,IMG_0096-Photoroom.JPG,measure,10,
010,IMG_0097-Photoroom.JPG,measure,11,
010,IMG_0090.HEIC,card,,number card 10
011,FullSizeRender-Photoroom 14.JPG,front,1,unconfirmed
011,IMG_0099-Photoroom.JPG,front,2,
011,IMG_0111-Photoroom.JPG,front,3,
011,FullSizeRender-Photoroom 13.JPG,back,4,"corrected 16 Aug - no centre zip, this is the back"
011,IMG_0100-Photoroom.JPG,detail,5,
011,IMG_0101-Photoroom.JPG,detail,6,
011,IMG_0102-Photoroom.JPG,detail,7,
011,IMG_0103-Photoroom.JPG,detail,8,
011,IMG_0104-Photoroom.JPG,detail,9,
011,IMG_0105-Photoroom.JPG,detail,10,
011,IMG_0106-Photoroom.JPG,detail,11,
011,IMG_0107-Photoroom.JPG,detail,12,
011,IMG_0108-Photoroom.JPG,detail,13,
011,IMG_0112-Photoroom.JPG,detail,14,
011,IMG_0109-Photoroom.JPG,measure,15,
011,IMG_0110-Photoroom.JPG,measure,16,
011,IMG_0111.HEIC,card,,number card 11
012,FullSizeRender-Photoroom 12.JPG,front,1,unconfirmed
012,IMG_0113-Photoroom.JPG,front,2,
012,FullSizeRender-Photoroom 11.JPG,back,3,unconfirmed
012,IMG_0114-Photoroom.JPG,detail,4,
012,IMG_0115-Photoroom.JPG,detail,5,
012,IMG_0116-Photoroom.JPG,detail,6,
012,IMG_0117-Photoroom.JPG,detail,7,
012,IMG_0118-Photoroom.JPG,detail,8,
012,IMG_0119-Photoroom.JPG,detail,9,
012,IMG_0120-Photoroom.JPG,measure,10,
012,IMG_0121-Photoroom.JPG,measure,11,
012,IMG_0113.HEIC,card,,number card 12
013,FullSizeRender-Photoroom 6.JPG,front,1,unconfirmed
013,FullSizeRender-Photoroom 7.JPG,front,2,unconfirmed
013,IMG_0122-Photoroom.JPG,front,3,
013,FullSizeRender-Photoroom 5.JPG,back,4,unconfirmed
013,IMG_0123-Photoroom.JPG,detail,5,
013,IMG_0124-Photoroom.JPG,detail,6,
013,IMG_0125-Photoroom.JPG,detail,7,
013,IMG_0126-Photoroom.JPG,detail,8,
013,IMG_0127-Photoroom.JPG,detail,9,
013,IMG_0128-Photoroom.JPG,detail,10,
013,IMG_0129-Photoroom.JPG,measure,11,
013,IMG_0130-Photoroom.JPG,measure,12,
013,IMG_0122.HEIC,card,,number card 13
014,FullSizeRender-Photoroom 10.JPG,front,1,unconfirmed
014,FullSizeRender-Photoroom 9.JPG,front,2,unconfirmed
014,IMG_0131-Photoroom.JPG,front,3,
014,FullSizeRender-Photoroom 8.JPG,back,4,unconfirmed
014,IMG_0134-Photoroom.JPG,detail,5,
014,IMG_0135-Photoroom.JPG,detail,6,
014,IMG_0136-Photoroom.JPG,detail,7,
014,IMG_0137-Photoroom.JPG,detail,8,
014,IMG_0138-Photoroom.JPG,detail,9,
014,IMG_0139-Photoroom.JPG,detail,10,
014,IMG_0132-Photoroom.JPG,measure,11,
014,IMG_0133-Photoroom.JPG,measure,12,
014,IMG_0131.HEIC,card,,number card 14
015,FullSizeRender-Photoroom 4.JPG,front,1,unconfirmed
015,IMG_0140-Photoroom.JPG,front,2,
015,FullSizeRender-Photoroom 3.JPG,back,3,unconfirmed
015,IMG_0141-Photoroom.JPG,detail,4,
015,IMG_0142-Photoroom.JPG,detail,5,
015,IMG_0143-Photoroom.JPG,detail,6,
015,IMG_0144-Photoroom.JPG,detail,7,
015,IMG_0145-Photoroom.JPG,detail,8,
015,IMG_0146-Photoroom.JPG,detail,9,
015,IMG_0147-Photoroom.JPG,detail,10,
015,IMG_0149-Photoroom.JPG,measure,11,
015,IMG_0150-Photoroom.JPG,measure,12,
015,IMG_0140.HEIC,card,,number card 15
