item_no,title,brand,category_id,size_id,condition,color,secondary_color,price,sku,quantity,era,era_evidence,material,material_source,defects,Shipping weight,Shipping weight unit,Domestic shipping price,Worldwide shipping price,Free domestic shipping,Free worldwide shipping,Tags,Who made,When made,Smart pricing,Smart pricing price,Accept offers,Is auction,Auction starting price,Cost of Goods,Internal note,description,price_source,flags
011,Burberry Brit Polo Shirt Black Nova Check Collar Mens XL,Burberry,53a08abc-4447-97e2-211b-4e5b23c79b26,471245b9-1139-0a68-77c5-a26a9e635e2f,Good,Black,,19.99,SF - Men's Summer Designer Mix,1,2000s to 2010s,"Burberry Brit was the diffusion line of that window, and the nova check under-collar with an embroidered equestrian knight matches it.",Cotton pique,estimated - no composition tag read,Slight marks on the front,320,Grams,2.95,,FALSE,FALSE,burberry|burberry brit|polo|polo shirt|black|nova check|designer|mens|xl|vintage|smart casual,SomeoneElse,From2007To2009,FALSE,,TRUE,FALSE,,6.45,Department: Men | Type: Polo,"Good Condition
Size: XL (Measurements provided on the images)
Era: 2000s to 2010s

🧵Material: Cotton pique
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 2000s to 2010s Burberry Brit polo shirt in black with the signature nova check lining to the under-collar and placket. Four-button placket and the tonal embroidered equestrian knight at the chest. Slight marks on the front.",owner,
012,Cinema Etoile Chemise Babydoll Slip White Lace Vintage Womens Small,Cinema Etoile,d8eea4c3-8b99-9272-0a74-970762106585,0a197135-09d9-7a16-9bc8-9fe09264a06a,VeryGood,White,,14.99,VWM - Women's Y2K Mix,1,2000s,Cinema Etoile is a lingerie label of that window; the underwired cup and mesh overlay match its babydoll run.,Mesh with lace overlay,estimated - no composition tag read,None,160,Grams,2.95,,FALSE,FALSE,cinema etoile|chemise|babydoll|slip|nightdress|white|lace|lingerie|vintage|y2k|womens|small,SomeoneElse,From2000To2006,FALSE,,TRUE,FALSE,,5.23,Department: Women | Style: no lingerie Style list seen yet,"Very Good Condition
Size: Small Women's (Measurements provided on the images)
Era: 2000s

🧵Material: Mesh with lace overlay
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 2000s Vintage Cinema Etoile chemise babydoll in white with an outlined floral lace overlay and a ruffled hem. Structured underwired cups, adjustable straps and a sheer mesh skirt.",owner,
013,Adidas Jacket Windbreaker Abstract Print Green Blue Vintage Womens 14,Adidas,266eae6a-6f6b-9e8f-6486-14bc0cdf3ed7,270425ce-442f-4c0c-7ab7-7dcd71fd4d84,Good,Multi,Green,22.99,VWM - Women's Y2K Mix,1,1990s,All-over abstract print with colour-blocked shell panels and the Adidas Originals trefoil on a woven label - a 1990s shell.,Shell with fleece lining,estimated - no composition tag read,None,540,Grams,2.95,,FALSE,FALSE,adidas|jacket|windbreaker|shell jacket|abstract print|vintage|90s|y2k|womens|size 14|festival|sportswear,SomeoneElse,From1990s,FALSE,,TRUE,FALSE,,5.23,"Department: Women | Style: Windbreaker | Outer Shell Material: Nylon (estimated, no tag read)","Good Condition
Size: 14 (UK) (Measurements provided on the images)
Era: 1990s

🧵Material: Shell with fleece lining
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 1990s Vintage Adidas windbreaker jacket with an all-over abstract print body, contrast green yoke and periwinkle sleeves. Full zip fastening, drawcord collar, zip pockets and a brushed fleece lining.",owner,
014,Lace Babydoll Slip Chemise Blue Sheer Vintage Y2K Womens Small,,d8eea4c3-8b99-9272-0a74-970762106585,0a197135-09d9-7a16-9bc8-9fe09264a06a,VeryGood,Blue,,12.99,VWM - Women's Y2K Mix,1,2000s,Sheer floral lace with a satin-bow bust and scalloped hem - a Y2K lingerie shape.,Floral lace,estimated - no composition tag read,None,140,Grams,2.95,,FALSE,FALSE,babydoll|chemise|slip|nightdress|blue|lace|sheer|lingerie|vintage|y2k|womens|small,SomeoneElse,From2000To2006,FALSE,,TRUE,FALSE,,5.23,Department: Women | Style: no lingerie Style list seen yet,"Very Good Condition
Size: Small Women's (Measurements provided on the images)
Era: 2000s

🧵Material: Floral lace
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 2000s Vintage sheer lace babydoll slip in cobalt blue with a scalloped hem and satin bow at the bust. Adjustable straps and a soft A-line drape.",owner,
015,Buffalo Bills Wild West Top Sublimated Print Y2K Vintage Womens Large,,915cc70c-4838-5a4b-8ca3-7ef0f62e072e,903b02f6-1f5a-36ed-6620-bfae7fb51f8f,VeryGood,Brown,Pink,18.99,VWM - Women's Y2K Mix,1,2000s,All-over sublimated print with rhinestone detail and a contrast-bound neckline - the Y2K sublimation look at its peak.,Stretch jersey,estimated - no composition tag read,None,220,Grams,2.95,,FALSE,FALSE,y2k|sublimated|graphic top|buffalo bill|wild west|western|vintage|3/4 sleeve|womens|large|rhinestone|boho,SomeoneElse,From2000To2006,FALSE,,TRUE,FALSE,,5.23,Department: Women | Type: T-Shirt | Sleeve length: 3/4 Sleeve,"Very Good Condition
Size: Large Women's (Measurements provided on the images)
Era: 2000s

🧵Material: Stretch jersey
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 2000s Vintage Y2K three-quarter sleeve top with an all-over sublimated Buffalo Bill's Wild West print in sepia, pink and cream. Rhinestone detailing, scoop neck with contrast binding and a stretch jersey body.",owner,
016,Juicy Couture Velour Hoodie Sorority Sigma Kappa Black Y2K Womens XL,Juicy Couture,b1d3ddb2-054d-46ee-52e1-4f079b388670,3d0d4408-03e4-6ea2-7468-c9d4a5540d55,VeryGood,Black,Pink,19.99,VWM - Women's Y2K Mix,1,2000s,Crushed velour tracksuit hoodie with applique Greek letters - Juicy's sorority line sat squarely in the 2000s.,Velour,estimated - no composition tag read,None,590,Grams,2.95,,FALSE,FALSE,juicy couture|velour|hoodie|zip up|tracksuit|sorority|sigma kappa|black|pink|y2k|vintage|womens|xl,SomeoneElse,From2000To2006,FALSE,,TRUE,FALSE,,5.23,"Department: Women | Style: Full Zip | Neckline: Hooded is not in the list - nearest is Crew Neck, or type it in","Very Good Condition
Size: XL Women's (Measurements provided on the images)
Era: 2000s

🧵Material: Velour
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 2000s Vintage Juicy Couture velour zip hoodie in black with appliqued pink Sigma Kappa letters at the chest. Full zip fastening, lined hood, ribbed cuffs and hem and Rachel's Sissy script across the back.",owner,
017,Dominique Longline Bustier Bra Bridal White Strapless Womens 44DD,Dominique,50c859ef-6643-4faf-1f4f-903ee3c155cc,7b7d7d22-297d-0ace-2f3c-c414d5592366,VeryGood,White,,16.99,VWM - Women's Y2K Mix,1,2000s,Dominique's bridal longline range; the moulded strapless cup and boned longline body match it.,Satin with mesh panels,estimated - no composition tag read,None,290,Grams,2.95,,FALSE,FALSE,dominique|bustier|longline bra|bridal|wedding|white|ivory|strapless|corset|lingerie|womens|44dd,SomeoneElse,From2000To2006,FALSE,,TRUE,FALSE,,5.23,Department: Women | Style: no lingerie Style list seen yet,"Very Good Condition
Size: 44DD/E (Measurements provided on the images)
Era: 2000s

🧵Material: Satin with mesh panels
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 2000s Dominique longline bridal bustier in ivory white with moulded strapless cups and a boned longline body. Front hook fastening, mesh side panels and picot trim at the hem.",owner,
018,Juicy Couture Velour Hoodie Zip Up Pink Y2K Tracksuit Womens Medium,Juicy Couture,b1d3ddb2-054d-46ee-52e1-4f079b388670,fb288854-9af5-1e28-20b7-2837ee7b6aed,VeryGood,Pink,,34.99,VWM - Women's Y2K Mix,1,2000s,Crushed pink velour with the Juicy zip pull and crown branding - the signature 2000s tracksuit top.,Velour,estimated - no composition tag read,None,520,Grams,2.95,,FALSE,FALSE,juicy couture|velour|hoodie|zip up|tracksuit|pink|y2k|vintage|womens|medium|coquette|2000s,SomeoneElse,From2000To2006,FALSE,,TRUE,FALSE,,5.23,"Department: Women | Style: Full Zip | Neckline: Hooded is not in the list - nearest is Crew Neck, or type it in","Very Good Condition
Size: Medium (Measurements provided on the images)
Era: 2000s

🧵Material: Velour
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 2000s Vintage Juicy Couture velour zip hoodie in crushed pink with tonal embroidered branding. Full zip fastening with a branded pull, lined hood, side pockets and ribbed cuffs and hem.",owner,
019,Carhartt T Shirt Pocket Tee Green Mint Workwear Womens Small,Carhartt,4e101a09-6234-2e61-6ee9-2f485d8269cd,0a197135-09d9-7a16-9bc8-9fe09264a06a,Good,Green,,9.99,VWM - Women's Y2K Mix,1,2010s to 2020s,"Modern square Carhartt patch at the pocket, from the current workwear run.",100% Cotton,tag read - 100% Coton label photographed,Slight speckles on the front,210,Grams,2.95,,FALSE,FALSE,carhartt|t shirt|pocket tee|workwear|green|mint|womens|small|streetwear|vintage|cotton,SomeoneElse,From2010To2019,FALSE,,TRUE,FALSE,,5.23,Department: Women | Type: T-Shirt | Sleeve length: Short Sleeve,"Good Condition
Size: Small (4-6) (Measurements provided on the images)
Era: 2010s to 2020s

🧵Material: 100% Cotton
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 2010s to 2020s Carhartt pocket t-shirt in mint green with the woven Carhartt patch at the chest pocket. Ribbed crew neck and a straight workwear cut. Slight speckles on the front.",owner,
020,Ralph Lauren Polo Shirt Womens Black Red Pony Classic Fit Medium,Ralph Lauren,94954653-2623-55ef-459f-259d8f557249,fb288854-9af5-1e28-20b7-2837ee7b6aed,VeryGood,Black,Red,14.00,VWM - Women's Y2K Mix,1,2010s,"Classic Fit is named on the neck label, which is 2010s branding.",Cotton pique,estimated - no composition tag read,None,240,Grams,2.95,,FALSE,FALSE,ralph lauren|polo|polo shirt|black|red pony|womens|medium|classic fit|preppy|vintage|cotton pique,SomeoneElse,From2010To2019,FALSE,,TRUE,FALSE,,5.23,Department: Women | Type: Polo | Sleeve length: Short Sleeve,"Very Good Condition
Size: Medium (10-12) (Measurements provided on the images)
Era: 2010s

🧵Material: Cotton pique
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 2010s Ralph Lauren women's polo shirt in black with a contrast red embroidered pony at the chest. Two-button placket, ribbed collar and cuffs and a classic fit cut.",owner,
021,Ralph Lauren Sport Shirt Oxford Button Down Lilac Purple Womens Small,Ralph Lauren,ccf577d4-1398-7c82-2ea9-569848ab636e,0a197135-09d9-7a16-9bc8-9fe09264a06a,VeryGood,Lilac,,18.00,VWM - Women's Y2K Mix,1,2000s,Ralph Lauren Sport is named on the neck label - a line that ran through the 2000s.,Cotton oxford,estimated - no composition tag read,None,270,Grams,2.95,,FALSE,FALSE,ralph lauren|ralph lauren sport|shirt|oxford|button down|lilac|purple|womens|small|preppy|vintage|y2k,SomeoneElse,From2000To2006,FALSE,,TRUE,FALSE,,5.23,Department: Women | Type: Button-Up | Sleeve length: Long Sleeve,"Very Good Condition
Size: Small (Measurements provided on the images)
Era: 2000s

🧵Material: Cotton oxford
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 2000s Vintage Ralph Lauren Sport oxford shirt in lilac purple with a gold embroidered pony at the chest. Button-down collar, full button placket and a curved shirt tail hem.",owner,
022,Birkenstock Arizona Sandals Two Strap Bronze Nude Womens UK 4 EU 37,Birkenstock,8ca295e3-4da1-60b0-9788-b5ab12598d45,92210b87-92e9-2ba1-6635-a882e9af9275,VeryGood,Beige,,27.99,SF - Birkenstock,1,2010s,Arizona has run unchanged for decades; the moulded sole and current logo stamp read modern.,Leather upper with cork footbed,estimated - no composition tag read,None,740,Grams,2.95,,FALSE,FALSE,birkenstock|arizona|sandals|two strap|sliders|bronze|nude|beige|leather|cork|womens|uk 4|eu 37|summer,SomeoneElse,From2010To2019,FALSE,,TRUE,FALSE,,,Department: Women | Style: no sandals Style list seen yet,"Very Good Vintage Condition
Size: UK 4 (EU 37) (Measurements provided on the images)
Era: 2010s

🧵Material: Leather upper with cork footbed
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 2010s Vintage Birkenstock Arizona two-strap sandals in bronze nude with the classic contoured cork footbed. Twin adjustable buckle straps and a moulded EVA sole. Footbed stamped 240, EU 37 / UK 4.",owner,Cost unknown: SF - Birkenstock rate not yet given
023,Birkenstock Arizona Sandals Two Strap Brown Mocha Womens UK 5 EU 38,Birkenstock,8ca295e3-4da1-60b0-9788-b5ab12598d45,8c71f20d-9c99-73b8-7bb5-2bb2cf785663,Good,Brown,,24.99,SF - Birkenstock,1,2010s,Arizona shape is undateable; sole and stamp read modern.,Leather upper with cork footbed,estimated - no composition tag read,Inner footbed a bit worn - exterior sole is in good condition. Would otherwise be very good condition,740,Grams,2.95,,FALSE,FALSE,birkenstock|arizona|sandals|two strap|sliders|brown|mocha|leather|cork|womens|uk 5|eu 38|summer,SomeoneElse,From2010To2019,FALSE,,TRUE,FALSE,,,Department: Women | Style: no sandals Style list seen yet,"Good Condition
Size: UK 5 (EU 38) (Measurements provided on the images)
Era: 2010s

🧵Material: Leather upper with cork footbed
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 2010s Vintage Birkenstock Arizona two-strap sandals in brown mocha with the contoured cork footbed. Twin adjustable buckle straps and a moulded EVA sole. Footbed stamped 245, EU 38 / UK 5. Inner footbed a bit worn - exterior sole is in good condition. Would otherwise be very good condition.",owner,Cost unknown: SF - Birkenstock rate not yet given
024,Birkenstock Gizeh Sandals Thong Toe Post Brown Womens UK 5 EU 38,Birkenstock,8ca295e3-4da1-60b0-9788-b5ab12598d45,8c71f20d-9c99-73b8-7bb5-2bb2cf785663,Good,Brown,,24.99,SF - Birkenstock,1,2010s,Gizeh shape is undateable; sole and stamp read modern.,Leather upper with cork footbed,estimated - no composition tag read,None,640,Grams,2.95,,FALSE,FALSE,birkenstock|gizeh|sandals|thong sandals|toe post|brown|leather|cork|womens|uk 5|eu 38|summer,SomeoneElse,From2010To2019,FALSE,,TRUE,FALSE,,,Department: Women | Style: no sandals Style list seen yet,"Good Condition
Size: UK 5 (EU 38) (Measurements provided on the images)
Era: 2010s

🧵Material: Leather upper with cork footbed
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 2010s Vintage Birkenstock Gizeh thong sandals in brown with the contoured cork footbed. Adjustable buckle toe-post strap and a moulded EVA sole. Footbed stamped 245, EU 38 / UK 5.",owner,Cost unknown: SF - Birkenstock rate not yet given
025,Birkenstock Gizeh Sandals Thong Toe Post Yellow Patent Womens UK 3 EU 36,Birkenstock,8ca295e3-4da1-60b0-9788-b5ab12598d45,8ac257a1-a22b-4f5e-1555-96eb4f7351d1,Good,Yellow,,24.99,SF - Birkenstock,1,2010s,Patent Gizeh in a bright colourway; the shape is undateable but the finish reads modern.,Patent upper with cork footbed,estimated - no composition tag read,None,620,Grams,2.95,,FALSE,FALSE,birkenstock|gizeh|sandals|thong sandals|toe post|yellow|patent|neon|cork|womens|uk 3|eu 36|summer,SomeoneElse,From2010To2019,FALSE,,TRUE,FALSE,,,Department: Women | Style: no sandals Style list seen yet,"Good Condition
Size: UK 3 (EU 36) (Measurements provided on the images)
Era: 2010s

🧵Material: Patent upper with cork footbed
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 2010s Vintage Birkenstock Gizeh thong sandals in bright yellow patent with the contoured cork footbed. Adjustable buckle toe-post strap and a moulded EVA sole. Footbed stamped 230, EU 36 / UK 3.",owner,Cost unknown: SF - Birkenstock rate not yet given
