item_no,title,brand,category_id,size_id,condition,color,secondary_color,price,sku,quantity,era,era_evidence,material,material_source,defects,defect_severity,Shipping weight,Shipping weight unit,Domestic shipping price,Worldwide shipping price,Free domestic shipping,Free worldwide shipping,Tags,Who made,When made,Smart pricing,Smart pricing price,Accept offers,Is auction,Auction starting price,Cost of Goods,Internal note,description,price_source,price_basis,flags
012,Y2K Shapewear Bodysuit Black 40D Womens All In One Body Shaper Underwired,,50c859ef-6643-4faf-1f4f-903ee3c155cc,cdb00583-a2d4-1350-30da-4004ca9f53ac,VeryGood,Black,,12.99,VWM - Women's Y2K Mix,1,2000s,"Moulded underwired cups with adjustable straps over a jacquard control panel and a hook-and-eye gusset - the all-in-one body shaper as built through the 2000s, style BR8784A on its own tag.",83% Nylon / 17% Spandex,composition tag photographed and read (IMG_1404),None,None,240,Grams,2.95,,FALSE,FALSE,y2k|shapewear|bodysuit|black|40d|womens|all|one|body|shaper|underwired,SomeoneElse,From2000To2006,FALSE,,TRUE,FALSE,,5.23,Department: Women | Style: Bodysuit | Neckline: Square Neck | Sleeve length: Sleeveless,"Very Good Condition
Size: 40D (Measurements provided on the images)
Era: 2000s

🧵Material: 83% Nylon / 17% Spandex
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: Shaping bodysuit in black with moulded underwired cups, adjustable straps and a firm jacquard control panel through the body. Sheer lace side panels, high-cut leg and a hook-and-eye gusset fastening. Worn under clothes to smooth the waist and hip.",owner,,"RENAMED - ledger said 'Women's Chemise (Nightwear)'. It is a shapewear bodysuit with a built-in underwired bra, not a nightdress. Filed under Women's bras because that is the only Crosslist category whose size group carries 40D; the intimates tree has no shapewear node."
013,LA Idol Y2K Shorts White Womens Size 6 Embellished Denim Capri Bermuda Bling,LA Idol,0775c812-18b6-3a19-7571-28e35f6e0919,71d7e56c-0737-3a55-5936-6639f3aa3756,Good,White,,9.99,VWM - Women's Y2K Mix,1,2000s to 2010s,LA Idol USA branded waistband with heavily rhinestoned and studded flap back pockets - the Y2K to early-2010s embellished denim the label built its name on.,Cotton denim with elastane,estimated - no composition tag photographed,Slight marks to the front and a bit to the back,Minor,340,Grams,2.95,,FALSE,FALSE,la idol|la|idol|y2k|shorts|white|womens|size|6|embellished|denim|capri|bermuda|bling,SomeoneElse,From2007To2009,FALSE,,TRUE,FALSE,,5.23,Department: Women | Style: Bermuda,"Good Condition
Size: 6 (31 waist, 12 leg) (Measurements provided on the images)
Era: 2000s to 2010s

🧵Material: Cotton denim with elastane
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: LA Idol embellished denim capri shorts in white with rhinestone and stud detailing across the flap back pockets. Five-pocket cut, branded waistband and a long knee-length leg with a small zip vent at the side. Slight marks to the front and a bit to the back.",owner,,
014,Carhartt Hoodie Grey Womens Large Vintage Quarter Zip Striped Sweatshirt,Carhartt,b1d3ddb2-054d-46ee-52e1-4f079b388670,903b02f6-1f5a-36ed-6620-bfae7fb51f8f,Good,Gray,Cream,17.99,VWM - Women's Y2K Mix,1,2010s,Space-dyed grey and cream stripe jersey with the square C patch and a quarter-zip placket - a 2010s Carhartt women's hooded sweatshirt.,Cotton and polyester fleece,estimated - composition tag photographed but not legible,Slight mark on the front (see images),Minor,620,Grams,2.95,,FALSE,FALSE,carhartt|hoodie|grey|womens|large|vintage|quarter|zip|striped|sweatshirt,SomeoneElse,From2010To2019,FALSE,,TRUE,FALSE,,5.23,Department: Women | Style: Pullover | Neckline: Hooded (free text),"Good Condition
Size: Large - relaxed fit (Measurements provided on the images)
Era: 2010s

🧵Material: Cotton and polyester fleece
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: Carhartt quarter-zip hoodie in space-dyed grey and cream stripe with the square Carhartt patch at the kangaroo pocket. Brushed fleece backing, ribbed cuffs and hem and a drawstring hood. Relaxed fit. Slight mark on the front (see images).",owner,,
015,Carhartt Hoodie Cream Womens Large Vintage Blue Logo Pullover Sweatshirt,Carhartt,b1d3ddb2-054d-46ee-52e1-4f079b388670,903b02f6-1f5a-36ed-6620-bfae7fb51f8f,VeryGood,Cream,Blue,16.99,VWM - Women's Y2K Mix,1,2010s,Cream body with the blue C logo at the chest and the sleeve wordmark print of Carhartt's 2010s hooded sweatshirt run.,Cotton and polyester fleece,estimated - composition tag photographed but not legible,A couple of unnoticeable marks on the front (see images),Minor,640,Grams,2.95,,FALSE,FALSE,carhartt|hoodie|cream|womens|large|vintage|blue|logo|pullover|sweatshirt,SomeoneElse,From2010To2019,FALSE,,TRUE,FALSE,,5.23,Department: Women | Style: Pullover | Neckline: Hooded (free text),"Very Good Vintage Condition
Size: Large (12-14) - relaxed fit (Measurements provided on the images)
Era: 2010s

🧵Material: Cotton and polyester fleece
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: Carhartt pullover hoodie in cream with the blue Carhartt C logo at the chest and the wordmark printed down the sleeve. Kangaroo pocket, ribbed cuffs and hem and a two-eyelet drawstring hood. Relaxed fit. A couple of unnoticeable marks on the front (see images).",owner,,
016,Juicy Couture Y2K Hoodie Black Velour Womens Large Vintage Zip Up Track Jacket,Juicy Couture,b1d3ddb2-054d-46ee-52e1-4f079b388670,903b02f6-1f5a-36ed-6620-bfae7fb51f8f,VeryGood,Black,,19.99,VWM - Women's Y2K Mix,1,2000s,Juicy Couture's woven crown neck label on crushed velour with a full-length zip - the mid-2000s tracksuit top the label is known for.,80% Cotton / 20% Polyester,ledger states 80% cotton / 20% polyester,None,None,560,Grams,2.95,,FALSE,FALSE,juicy couture|juicy|couture|y2k|hoodie|black|velour|womens|large|vintage|zip|up|track|jacket,SomeoneElse,From2000To2006,FALSE,,TRUE,FALSE,,5.23,Department: Women | Style: Full Zip | Neckline: Hooded (free text),"Very Good Condition
Size: Large Women's (Measurements provided on the images)
Era: 2000s

🧵Material: 80% Cotton / 20% Polyester
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: Y2K Juicy Couture velour zip-up hoodie in black with the woven crown label at the neck. Full-length zip, front slash pockets, contrast ribbed cuffs and hem and a lined hood.",owner,,
017,Juicy Couture Y2K Denim Jacket Blue Womens Vintage Acid Wash Trucker Jacket,Juicy Couture,045359fc-9129-3a78-6caa-3aaea97d1641,,VeryGood,Blue,,27.99,VWM - Women's Y2K Mix,1,2000s,Acid-washed rigid denim with a Juicy Couture flag label at the back neck and a khaki twill collar facing printed with the crown crest - mid-2000s Juicy.,Cotton denim,estimated - no composition tag photographed,None,None,760,Grams,2.95,,FALSE,FALSE,juicy couture|juicy|couture|y2k|denim|jacket|blue|womens|vintage|acid|wash|trucker,SomeoneElse,From2000To2006,FALSE,,TRUE,FALSE,,5.23,Department: Women | Style: Basic Jacket | Outer Shell Material: Cotton,"Very Good Condition
Size: See measurements on the images
Era: 2000s

🧵Material: Cotton denim
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: Y2K Juicy Couture denim trucker jacket in light acid wash with a khaki twill collar facing printed with the Juicy Couture crown crest. Button front, chest flap pockets, engraved shank buttons and an adjustable buttoned back waist.",owner,,SIZE NOT SET - ledger size blank; the Juicy Couture label photographed carries no size.
018,Juicy Couture Y2K Hoodie Black Velour Womens XL Vintage Zip Up Track Jacket,Juicy Couture,b1d3ddb2-054d-46ee-52e1-4f079b388670,3d0d4408-03e4-6ea2-7468-c9d4a5540d55,VeryGood,Black,,19.99,VWM - Women's Y2K Mix,1,2000s,"Juicy Couture woven crown neck label on crushed velour, with the garment's own tag reading 88% cotton 12% polyester - the mid-2000s tracksuit top.",88% Cotton / 12% Polyester,composition tag photographed and read (IMG_1467),None,None,580,Grams,2.95,,FALSE,FALSE,juicy couture|juicy|couture|y2k|hoodie|black|velour|womens|xl|vintage|zip|up|track|jacket,SomeoneElse,From2000To2006,FALSE,,TRUE,FALSE,,5.23,Department: Women | Style: Full Zip | Neckline: Hooded (free text),"Very Good Condition
Size: XL (Measurements provided on the images)
Era: 2000s

🧵Material: 88% Cotton / 12% Polyester
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: Y2K Juicy Couture velour zip-up hoodie in black with the woven crown label at the neck. Full-length zip, front slash pockets, contrast ribbed cuffs and hem and a lined hood.",owner,,
019,Juicy Couture Y2K Cashmere Hoodie Grey Womens Medium Vintage Zip Up Hoodie,Juicy Couture,b1d3ddb2-054d-46ee-52e1-4f079b388670,fb288854-9af5-1e28-20b7-2837ee7b6aed,VeryGood,Gray,Cream,44.99,VWM - Women's Y2K Mix,1,2000s,Juicy Couture crown zip pull and woven neck label on a knitted cashmere body with cream racing stripes down each sleeve - the label's mid-2000s luxe tracksuit.,100% Cashmere,ledger states 100% cashmere,None,None,480,Grams,2.95,,FALSE,FALSE,juicy couture|juicy|couture|y2k|cashmere|hoodie|grey|womens|medium|vintage|zip|up,SomeoneElse,From2000To2006,FALSE,,TRUE,FALSE,,5.23,Department: Women | Style: Full Zip | Neckline: Hooded (free text) | Outer Shell Material: Cashmere,"Very Good Condition
Size: Medium (Measurements provided on the images)
Era: 2000s

🧵Material: 100% Cashmere
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: Y2K Juicy Couture cashmere zip-up hoodie in charcoal grey with cream racing stripes down each sleeve. Full-length zip with a branded pull, front slash pockets and a knitted hood.",owner,,
020,Val Mode Chemise Nightdress Burgundy Satin Black Lace Vintage 80s Womens Slip,Val Mode,d8eea4c3-8b99-9272-0a74-970762106585,,VeryGood,Burgundy,Black,16.99,VWM - Women's Y2K Mix,1,1980s,Val-Mode Lingerie woven label reading MADE IN U.S.A. OF IMPORTED FABRIC - the American production and the deep lace V place it in the 1980s.,Satin with lace trim,estimated - no composition tag photographed,None,None,170,Grams,2.95,,FALSE,FALSE,val mode|val|mode|chemise|nightdress|burgundy|satin|black|lace|vintage|80s|womens|slip,SomeoneElse,From1980s,FALSE,,TRUE,FALSE,,5.23,Department: Women | Style: Chemise | Neckline: V-Neck | Sleeve length: Sleeveless,"Very Good Condition
Size: See measurements on the images
Era: 1980s

🧵Material: Satin with lace trim
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 1980s vintage Val Mode satin chemise nightdress in deep burgundy with a black lace V-neck bodice and rose appliques. Fine adjustable straps and a softly flared bias-cut skirt, measuring about 30in from strap to hem - a short nightdress rather than a full-length gown.",owner,,"RENAMED - ledger said 'Nightgown'. At about 30in it is a chemise, a short nightdress; a nightgown reads as full length to a buyer. SIZE NOT SET - ledger size blank; the Val-Mode label photographed carries no size."
021,Guess Shorts Tan Vintage 90s Womens Waist 29 High Waisted Pleated Chino Cotton,Guess,c9e05c2d-1bbc-100a-7a4c-bd17219e7853,3d15fdc3-722e-0feb-4b8e-fe8eeff4205b,Good,Tan,,11.99,VWM - Women's Y2K Mix,1,1990s,"Single-pleat front, a high natural waist and a branded zip pocket on the back - the Guess cotton short of the early 1990s rather than any later cut.",100% Cotton,ledger states 100% cotton,Marks on front (see images),Minor,300,Grams,2.95,,FALSE,FALSE,guess|shorts|tan|vintage|90s|womens|waist|29|high|waisted|pleated|chino|cotton,SomeoneElse,From1990s,FALSE,,TRUE,FALSE,,5.23,Department: Women | Style: Chino,"Good Condition
Size: 29 (waist) (Measurements provided on the images)
Era: 1990s

🧵Material: 100% Cotton
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 1990s vintage Guess cotton shorts in natural tan with a single pleat at each front and a high natural waist. Belt loops, slant hip pockets and a branded zip pocket at the back. Marks on front (see images).",owner,,
022,Ralph Lauren Y2K Cable Knit Jumper Red Womens Small Cotton Crew Neck Sweater,Ralph Lauren,b37101d8-8d9e-0f1f-0948-ac72e18fa171,0a197135-09d9-7a16-9bc8-9fe09264a06a,VeryGood,Red,,19.99,VWM - Women's Y2K Mix,1,2000s,Polo blue label with the small navy chest pony on a cotton cable knit crew - the Ralph Lauren staple through the 2000s.,Cotton cable knit,estimated - composition tag photographed but not legible,None,None,450,Grams,2.95,,FALSE,FALSE,ralph lauren|ralph|lauren|y2k|cable|knit|jumper|red|womens|small|cotton|crew|neck|sweater,SomeoneElse,From2000To2006,FALSE,,TRUE,FALSE,,5.23,Department: Women | Style: Pullover | Neckline: Crew Neck | Sleeve length: Long Sleeve,"Very Good Condition
Size: Small (Measurements provided on the images)
Era: 2000s

🧵Material: Cotton cable knit
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: Ralph Lauren cable knit jumper in red with the signature navy embroidered pony at the chest. Crew neck with ribbed collar, cuffs and hem in a classic cotton cable.",owner,,
023,Rock Revival Y2K Denim Shorts Green Womens Waist 24 Hot Pants Embellished,Rock Revival,0775c812-18b6-3a19-7571-28e35f6e0919,54734122-89e5-5be8-7871-d53c5ce3861d,VeryGood,Mint,,17.99,VWM - Women's Y2K Mix,1,2010s,"Rock Revival's fleur-de-lis rivets and contrast orange pocket bags with the branded leather patch - the label launched in 2006, so this is a 2010s pair.",Cotton denim with elastane,estimated - no composition tag photographed,"Small discrepancy on the back, nothing too much (see images)",Minor,280,Grams,2.95,,FALSE,FALSE,rock revival|rock|revival|y2k|denim|shorts|green|womens|waist|24|hot|pants|embellished,SomeoneElse,From2010To2019,FALSE,,TRUE,FALSE,,5.23,Department: Women | Style: Hot Pants,"Very Good Vintage Condition
Size: 24 (waist) (Measurements provided on the images)
Era: 2010s

🧵Material: Cotton denim with elastane
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: Rock Revival denim shorts in soft greeny turquoise with fleur-de-lis stud detailing at the front pockets and contrast orange pocket bags. Five-pocket cut with a turn-up hem and a branded leather waistband patch. Small discrepancy on the back, nothing too much (see images).",owner,,
024,YIANNA Waist Trainer Black Latex Womens Medium Underbust Corset Cincher,YIANNA,160b6822-2a37-36b5-95f9-21900af04859,fb288854-9af5-1e28-20b7-2837ee7b6aed,VeryGood,Black,,17.99,VWM - Women's Y2K Mix,1,2010s,YIANNA sewn brand label with a latex-core composition tag - the Colombian-style latex waist trainer of the mid-2010s waist training boom.,"Lining: 96% Cotton / 4% Spandex, Core: 100% Latex",composition tag photographed and read (IMG_1540),None,None,250,Grams,2.95,,FALSE,FALSE,yianna|waist|trainer|black|latex|womens|medium|underbust|corset|cincher,SomeoneElse,From2010To2019,FALSE,,TRUE,FALSE,,5.23,Department: Women | Style: Waist Trainer,"Very Good Condition
Size: Medium (waist not stated) (Measurements provided on the images)
Era: 2010s

🧵Material: Lining: 96% Cotton / 4% Spandex, Core: 100% Latex
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: YIANNA latex waist trainer in black with a single row of hook-and-eye fastenings down the front and flexible steel boning through the panels. Latex core with a cotton-blend lining, curved to nip the waist under clothing.",owner,,"RENAMED - ledger said 'Yana K Women's Skirt'. It is a YIANNA latex waist trainer; 'Yana K' is how YIANNA came through the voice note. Its own tag reads size M, matching the ledger's Medium. The Corset Story label in IMG_1543/1544 sits on separate grey twill, not on this garment - the earlier 85/15 composition came from it and was wrong."
